formula,T(K),k(W/mK),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
KBi6.33S10,300,1.3,K1 Bi6.33 S10,16,83,67,40.6457011,30.94087848,16,3,88,85,82.36468552,9.159225103,88,32.065,208.9804,176.9154,97.09141558,81.73771164,32.065,336.53,544.4,207.87,442.3648009,74.53927411,388.36,1,16,15,14.76918638,1.589057863,16,3,6,3,4.153491056,1.348921133,3,105,203,98,126.3612233,24.65230619,105,0.82,2.58,1.76,2.27389498,0.353266036,2.58,1,2,1,1.942296595,0.108747443,2,0,4,4,3.403923832,0.687912485,4,0,10,10,3.652625505,4.636916394,0,0,14,14,5.113675707,6.491682952,0,1,29,28,14.11252164,10.87567663,6,0,1,1,0.057703405,0.108747443,0,0,3,3,2.249855741,0.54799921,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2.307559146,0.505845425,2,25.786875,73.10666667,47.31979167,31.13380939,6.170726355,25.786875,0,2.202,2.202,1.270628967,1.074865589,2.202,0,0,0,0,0,0,12,229,217,57.98961339,33.59656696,70
Pb1.8S1.8Ti2S4,400,2.51,Pb1.8 S5.8 Ti2,16,82,66,29.625,19.640625,16,43,88,45,77.3125,14.296875,88,32.065,207.2,175.135,68.19489583,52.12691406,32.065,388.36,1941,1552.64,751.6235417,495.5735243,388.36,4,16,12,13.125,3.802083333,16,3,6,3,3.770833333,0.931423611,3,105,160,55,124.1458333,23.13454861,105,1.54,2.58,1.04,2.316458333,0.323524306,2.58,2,2,0,2,0,2,0,4,4,2.791666667,1.460069444,4,0,10,10,2.291666667,2.890625,0,0,14,14,2.625,4.265625,0,4,28,24,9.708333333,6.859375,6,0,0,0,0,0,0,0,4,4,1.958333333,0.815972222,2,0,8,8,1.666666667,2.638888889,0,0,0,0,0,0,0,2,8,6,3.625,1.963541667,2,16.69,28.11,11.42,24.32727865,3.182199436,25.786875,0,2.202,2.202,1.330375,1.053213542,2.202,0,2.25E-05,2.25E-05,4.69E-06,7.43E-06,0,70,225,155,124.8958333,66.33246528,70
La2.74Te4,700,1,La2.74 Te4,52,57,5,54.03264095,2.412630207,52,13,90,77,58.69732938,37.15450519,90,127.6,138.90547,11.30547,132.1959923,5.455183686,127.6,722.66,1193,470.34,913.8664688,226.9512983,722.66,3,16,13,10.71513353,6.272838539,16,5,6,1,5.40652819,0.482526041,5,138,207,69,166.0504451,33.29429686,138,1.1,2.1,1,1.69347181,0.482526041,2.1,2,2,0,2,0,2,0,4,4,2.37388724,1.930104166,4,1,10,9,6.341246291,4.342734373,10,0,0,0,0,0,0,3,16,13,10.71513353,6.272838539,16,0,0,0,0,0,0,0,2,2,1.18694362,0.965052083,2,0,9,9,3.658753709,4.342734373,0,0,0,0,0,0,0,2,9,7,4.845697329,3.37768229,2,34.76333333,36.8975,2.134166667,35.63093225,1.029790993,34.76333333,0,0.464,0.464,0.27537092,0.223892083,0.464,0,0,0,0,0,0,152,194,42,169.074184,20.26609374,152
In0.2Co4Sb12,300,2.476,In0.2 Co4 Sb12,27,51,24,45.04938272,8.913275415,51,58,85,27,78.20987654,10.05944216,85,58.933195,121.76,62.826805,106.1615049,23.32262219,121.76,429.75,1768,1338.25,1111.315432,324.2886755,903.78,9,15,6,13.49382716,2.23136717,15,4,5,1,4.75308642,0.371894528,5,126,142,16,135.8271605,4.852918762,139,1.78,2.05,0.27,2.004691358,0.067123914,2.05,2,2,0,2,0,2,0,3,3,2.234567901,1.13397348,3,7,10,3,9.259259259,1.115683585,10,0,0,0,0,0,0,9,15,6,13.49382716,2.23136717,15,0,0,0,0,0,0,0,5,5,2.283950617,1.127876848,3,0,3,3,0.740740741,1.115683585,0,0,0,0,0,0,0,3,5,2,3.024691358,0.048773053,3,10.245,31.56,21.315,26.20691358,7.9304984,31.56,0,0,0,0,0,0,0,1.5484712,1.5484712,0.382338568,0.575867966,0,139,194,55,172.5802469,10.57765585,166
Ba7SrAl16Si30,700,2.46,Ba7 Sr1 Al16 Si30,13,56,43,19.59259259,10.12071331,14,8,78,70,66.27777778,17.00823045,78,26.9815386,137.327,110.3454614,43.02182625,26.1012737,28.0855,933.47,1687,753.53,1362.88,360.1333333,1687,2,14,12,11.92592593,2.941015089,14,3,6,3,3.425925926,0.725651578,3,111,215,104,129,24.74074074,111,0.89,1.9,1.01,1.665555556,0.260493827,1.9,2,2,0,2,0,2,0,2,2,1.407407407,0.658436214,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3.407407407,0.658436214,4,0,0,0,0,0,0,0,5,5,3.703703704,1.09739369,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3.703703704,1.09739369,4,16.48,63.59,47.11,25.48592593,10.94342936,20.44,0,0.773,0.773,0.429444444,0.381728395,0.773,0,0,0,0,0,0,225,229,4,226.6296296,1.0260631,227
CuCr0.96Mg0.04O2,1000,6.854,Cu1 Cr0.96 Mg0.04 O2,8,29,21,17.13,9.2326,8,49,87,38,71.94,15.06,87,15.9994,63.546,47.5466,36.608314,20.85498028,15.9994,54.8,2180,2125.2,899.2725,844.4725,54.8,2,16,14,12.21,3.79,16,2,4,2,2.99,0.99,2,66,141,75,100.77,34.77,66,1.31,3.44,2.13,2.6065,0.8335,3.44,1,2,1,1.51,0.4998,2,0,4,4,2,2,4,0,10,10,3.7,3.774,0,0,0,0,0,0,0,2,11,9,7.21,1.895,6,0,1,1,0.49,0.4998,0,0,2,2,1,1,2,0,5,5,1.2,1.824,0,0,0,0,0,0,0,0,6,6,2.69,1.5888,2,9.105,22.89,13.785,10.2345,1.1295,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,119.15,107.15,12
Tl2GeTe5,300,9.07,Tl2 Ge1 Te5,32,81,49,56.75,12.125,52,76,90,14,85.125,6.09375,90,72.64,204.3833,131.7433,139.925825,32.2287375,127.6,577,1211.4,634.4,747.3375,116.015625,722.66,13,16,3,15,1.25,16,4,6,2,5.125,0.4375,5,120,145,25,137.5,4.375,138,1.62,2.1,0.48,1.96875,0.174375,2.1,2,2,0,2,0,2,1,4,3,3,1.25,4,10,10,0,10,0,10,0,14,14,3.5,5.25,0,14,27,13,18.5,4.25,16,0,0,0,0,0,0,2,5,3,3,1.25,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,1.25,2,23.005,34.76333333,11.75833333,31.33020833,4.29140625,34.76333333,0,0.464,0.464,0.337875,0.1689375,0.464,0,0,0,0,0,0,152,225,73,171.625,24.53125,152
Zn0.9975Al0.0025O,1000,1.909,Zn0.9975 Al0.0025 O1,8,30,22,18.97875,10.99369688,8,69,87,18,78.005,8.995,87,15.9994,65.38,49.3806,40.64170192,24.67645233,15.9994,54.8,933.47,878.67,374.0409875,319.2409875,54.8,12,16,4,14.00125,1.99875,16,2,4,2,2.99875,0.99875,2,66,122,56,93.99875,27.99875,66,1.61,3.44,1.83,2.54495,0.89505,3.44,2,2,0,2,0,2,0,4,4,2.00125,1.99875,4,0,10,10,4.9875,4.99996875,0,0,0,0,0,0,0,3,12,9,8.98875,3.003721875,6,0,0,0,0,0,0,0,5,5,1.00625,1.003734375,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.00625,1.003734375,2,9.105,16.48,7.375,11.53565,2.43065,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,103.03875,91.03875,12
Mo3Te4,300,3.812,Mo3 Te4,42,52,10,47.71428571,4.897959184,52,50,90,40,72.85714286,19.59183673,90,95.96,127.6,31.64,114.04,15.49714286,127.6,722.66,2896,2173.34,1654.091429,1064.493061,722.66,6,16,10,11.71428571,4.897959184,16,5,5,0,5,0,5,138,154,16,144.8571429,7.836734694,138,2.1,2.16,0.06,2.125714286,0.029387755,2.1,1,2,1,1.571428571,0.489795918,2,0,4,4,2.285714286,1.959183673,4,5,10,5,7.857142857,2.448979592,10,0,0,0,0,0,0,6,16,10,11.71428571,4.897959184,16,0,1,1,0.428571429,0.489795918,0,0,2,2,1.142857143,0.979591837,2,0,5,5,2.142857143,2.448979592,0,0,0,0,0,0,0,2,6,4,3.714285714,1.959183673,2,15.69,34.76333333,19.07333333,26.58904762,9.342040816,34.76333333,0,0.464,0.464,0.265142857,0.227265306,0.464,0,0,0,0,0,0,152,229,77,185,37.71428571,152
SrDy0.08Ti0.92O3,300,4.195,Sr1 Dy0.08 Ti0.92 O3,8,66,58,17.504,11.4048,8,8,87,79,62.208,29.7504,87,15.9994,162.5,146.5006,38.531168,27.0381216,15.9994,54.8,1941,1886.2,626.984,686.6208,54.8,2,16,14,10.784,6.2592,16,2,6,4,3.032,1.2384,2,66,195,129,111.112,54.1344,66,0.95,3.44,2.49,2.55688,1.059744,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,2,2,0.368,0.600576,0,0,10,10,0.16,0.31488,0,2,12,10,4.928,1.512704,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,8,8,1.472,2.402304,0,0,4,4,0.064,0.125952,0,0,8,8,2.736,1.9776,2,9.105,54.23,45.125,19.8798,14.1036064,9.105,0,0,0,0,0,0,0,2.25E-05,2.25E-05,4.15E-06,6.77E-06,0,12,225,213,91,94.8,12
Ca0.9Ho0.1MnO3,700,1.518,Ca0.9 Ho0.1 Mn1 O3,8,67,59,14.74,8.088,8,7,87,80,64.52,26.976,87,15.9994,164.93032,148.93092,31.0998954,18.12059448,15.9994,54.8,1747,1692.2,572.32,621.024,54.8,2,16,14,11.42,5.496,16,2,6,4,2.84,1.008,2,66,192,126,102.92,44.304,66,1,3.44,2.44,2.5786,1.03368,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,11,11,0.22,0.4312,0,2,13,11,5.62,1.3032,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,3,3,0.06,0.1176,0,0,5,5,2.26,1.1256,2,9.105,37.77,28.665,14.97378391,8.83701977,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,94.98,99.576,12
Zn0.98Al0.02O,400,27.2,Zn0.98 Al0.02 O1,8,30,22,18.83,10.9466,8,69,87,18,78.04,8.96,87,15.9994,65.38,49.3806,40.30571539,24.57279892,15.9994,54.8,933.47,878.67,376.1479,321.3479,54.8,12,16,4,14.01,1.99,16,2,4,2,2.99,0.99,2,66,122,56,93.99,27.99,66,1.61,3.44,1.83,2.5446,0.8954,3.44,2,2,0,2,0,2,0,4,4,2.01,1.99,4,0,10,10,4.9,4.998,0,0,0,0,0,0,0,3,12,9,8.91,3.0282,6,0,0,0,0,0,0,0,5,5,1.05,1.029,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.05,1.029,2,9.105,16.48,7.375,11.5577,2.4527,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,103.31,91.31,12
